gene	drug	association
PA107	PA449053	associated
PA109	PA165950341	associated
PA117	PA450626	associated
PA124	PA451791	associated
PA126	PA164712462	associated
PA126	PA449293	associated
PA128	PA449233	associated
PA128	PA449409	associated
PA128	PA449969	associated
PA128	PA451131	associated
PA128	PA451791	associated
PA131	PA451365	associated
PA133787052	PA165980614	associated
PA134865839	PA448897	associated
PA134872551	PA448073	associated
PA134872551	PA450688	associated
PA134879223	PA162372840	not associated
PA134883813	PA450422	not associated
PA134889061	PA164712318	not associated
PA134890258	PA449899	not associated
PA134914705	PA448068	associated
PA134936264	PA450218	not associated
PA134956205	PA166129466	not associated
PA134963132	PA448515	associated
PA134963132	PA450379	associated
PA134974353	PA164713342	not associated
PA134986568	PA164712527	not associated
PA134987901	PA450530	not associated
PA134990816	PA164754850	not associated
PA134992686	PA448348	not associated
PA134992686	PA449899	associated
PA134993181	PA450850	not associated
PA139	PA448780	associated
PA142670475	PA164712329	not associated
PA142670733	PA164745110	not associated
PA142670838	PA166122986	associated
PA142670988	PA451013	not associated
PA142672353	PA450085	associated
PA142672442	PA448500	not associated
PA142672468	PA164751373	not associated
PA143485310	PA451159	not associated
PA143485484	PA164744326	not associated
PA143485630	PA449384	not associated
PA144596484	PA450395	associated
PA145	PA164713220	associated
PA145	PA452620	associated
PA145007775	PA165958357	not associated
PA145007788	PA164748866	not associated
PA147357321	PA164712322	not associated
PA149	PA164752425	not associated
PA155	PA150595617	associated
PA160	PA164749044	not associated
PA162376919	PA450322	not associated
PA162380028	PA165964366	not associated
PA162387168	PA164713042	not associated
PA162389761	PA164712788	not associated
PA162404045	PA165946747	not associated
PA162404314	PA164712305	not associated
PA162405167	PA165360204	not associated
PA162405922	PA163518919	not associated
PA162409189	PA164712325	not associated
PA164716941	PA164781371	not associated
PA164719488	PA164712999	not associated
PA164722394	PA448785	not associated
PA164722441	PA164713298	not associated
PA164722693	PA164776752	not associated
PA164722876	PA166049186	not associated
PA164722927	PA450198	not associated
PA164723022	PA164713009	not associated
PA164726680	PA449592	not associated
PA164741279	PA449421	not associated
PA166049147	PA165958354	associated
PA176	PA451346	associated
PA189	PA133950441	associated
PA189	PA451363	associated
PA235	PA448497	associated
PA245	PA448803	associated
PA24536	PA451089	associated
PA24539	PA164783790	not associated
PA24788	PA164713082	not associated
PA24816	PA164774901	not associated
PA25299	PA164712866	not associated
PA25398	PA164712966	not associated
PA25990	PA164713165	not associated
PA26189	PA10799	not associated
PA26210	PA164713132	not associated
PA26255	PA164712588	not associated
PA26356	PA164742987	not associated
PA26375	PA449823	not associated
PA26442	PA449690	not associated
PA26565	PA450117	not associated
PA267	PA449599	associated
PA267	PA450705	associated
PA267	PA451735	associated
PA26874	PA10832	associated
PA26874	PA451749	associated
PA26875	PA134687887	associated
PA26909	PA164713136	not associated
PA27433	PA164713176	associated
PA27433	PA449552	associated
PA27528	PA165946746	not associated
PA28063	PA451743	associated
PA28065	PA451261	associated
PA28065	PA451743	associated
PA28075	PA164712563	associated
PA28359	PA448571	not associated
PA28469	PA10176	associated
PA28976	PA449015	associated
PA28976	PA452229	associated
PA290	PA164774763	associated
PA29196	PA130620651	associated
PA29335	PA448717	not associated
PA29556	PA164784034	not associated
PA29778	PA152207466	not associated
PA29973	PA164783990	associated
PA30169	PA448049	not associated
PA30432	PA133950441	associated
PA30472	PA164768739	not associated
PA30536	PA164713232	not associated
PA30630	PA452640	not associated
PA30676	PA452233	associated
PA30994	PA451388	not associated
PA31	PA449719	associated
PA31	PA451483	associated
PA31066	PA164713075	not associated
PA31320	PA164748093	not associated
PA31353	PA164749052	not associated
PA31525	PA164748616	not associated
PA31534	PA151249535	associated
PA31603	PA152241909	not associated
PA31744	PA164713176	associated
PA31744	PA449412	associated
PA31801	PA449748	associated
PA31945	PA164712721	associated
PA31945	PA448073	associated
PA31945	PA448084	associated
PA31945	PA450586	associated
PA31945	PA451735	associated
PA31945	PA452619	associated
PA32107	PA164713154	not associated
PA32791	PA452620	not associated
PA33759	PA449899	associated
PA33825	PA165958423	not associated
PA34231	PA166114911	not associated
PA35056	PA449211	associated
PA35056	PA450413	associated
PA35057	PA450413	associated
PA35064	PA448497	associated
PA35066	PA152241907	associated
PA35186	PA451753	not associated
PA35589	PA449307	not associated
PA35647	PA450085	associated
PA35929	PA165948902	not associated
PA36017	PA449165	associated
PA36078	PA10032	not associated
PA36124	PA451446	not associated
PA36197	PA164713349	not associated
PA36394	PA10390	associated
PA36679	PA128406956	associated
PA36679	PA450761	associated
PA36679	PA452621	associated
PA36701	PA164754875	not associated
PA369	PA150595617	associated
PA369	PA448803	associated
PA36906	PA164712835	not associated
PA37188	PA450731	associated
PA37413	PA449014	associated
PA37522	PA164749340	not associated
PA37699	PA164713309	not associated
PA38017	PA165958427	not associated
PA38263	PA164748742	not associated
PA38302	PA164713257	associated
PA38619	PA450388	not associated
PA39	PA448068	associated
PA390	PA134308647	associated
PA419	PA165110775	associated
PA67	PA164784028	not associated
PA7360	PA134687924	associated
PA7360	PA448803	associated
PA7360	PA449383	associated
PA7360	PA449748	associated
PA7360	PA450761	associated
